嚴重性	程式碼	說明	專案	檔案	行	歸併狀態
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	767	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	769	
錯誤 (作用中)	CS0103	名稱 'SelectedHistoryItem' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	769	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	771	
錯誤 (作用中)	CS1061	'HistoryItemViewModel' 未包含 'IsSelected' 的定義，也找不到可接受類型 'HistoryItemViewModel' 第一個引數的可存取擴充方法 'IsSelected' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	771	
錯誤 (作用中)	CS0103	名稱 'ShowRenamedFolders' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	775	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'IsRenamed' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'IsRenamed' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	776	
錯誤 (作用中)	CS0759	找不到用以實作部分方法 'MainViewModel.OnApiProviderChanged(ApiProvider)' 宣告的定義宣告	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	779	
錯誤 (作用中)	CS0759	找不到用以實作部分方法 'MainViewModel.OnModelNameChanged(string)' 宣告的定義宣告	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	787	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	791	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	825	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	825	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	827	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	846	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	849	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	854	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	856	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	860	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	862	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	866	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	868	
錯誤 (作用中)	CS0103	名稱 'RestoreSelectedCommand' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	965	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1022	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1023	
錯誤 (作用中)	CS0117	'AnimeFolderInfo' 未包含 'NamingFormat' 的定義	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1034	
錯誤 (作用中)	CS0103	名稱 'NamingFormat' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1034	
錯誤 (作用中)	CS0117	'AnimeFolderInfo' 未包含 'IsRenamed' 的定義	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1035	
錯誤 (作用中)	CS0117	'AnimeFolderInfo' 未包含 'AnalyzedTitle' 的定義	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1036	
錯誤 (作用中)	CS0117	'AnimeFolderInfo' 未包含 'SelectedTitle' 的定義	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1037	
錯誤 (作用中)	CS0103	名稱 'ScanProgress' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1044	
錯誤 (作用中)	CS0103	名稱 'ScanProgressText' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1045	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1046	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1051	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1055	
錯誤 (作用中)	CS1061	'HistoryItemViewModel' 未包含 'PropertyChanged' 的定義，也找不到可接受類型 'HistoryItemViewModel' 第一個引數的可存取擴充方法 'PropertyChanged' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1061	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1078	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1085	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1092	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1099	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'IsRenamed' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'IsRenamed' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1110	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1114	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'Type' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'Type' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1123	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'Year' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'Year' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1124	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'MetadataId' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'MetadataId' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1125	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'VerificationStatus' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'VerificationStatus' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1131	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'IsIdentified' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'IsIdentified' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1132	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'AnalyzedTitle' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'AnalyzedTitle' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1134	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'SelectedTitle' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'SelectedTitle' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1135	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'HasLocalSubtitles' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'HasLocalSubtitles' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1150	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'HasRemoteSubtitles' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'HasRemoteSubtitles' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1151	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'AnalyzedTitle' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'AnalyzedTitle' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1188	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'SelectedTitle' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'SelectedTitle' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1189	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'AnalyzedTitle' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'AnalyzedTitle' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1198	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'SelectedTitle' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'SelectedTitle' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1199	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'HasLocalSubtitles' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'HasLocalSubtitles' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1207	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'HasRemoteSubtitles' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'HasRemoteSubtitles' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1208	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'HasLocalSubtitles' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'HasLocalSubtitles' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1218	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'HasLocalSubtitles' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'HasLocalSubtitles' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1222	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'HasRemoteSubtitles' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'HasRemoteSubtitles' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1227	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'HasRemoteSubtitles' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'HasRemoteSubtitles' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1231	
錯誤 (作用中)	CS0759	找不到用以實作部分方法 'MainViewModel.OnPreferredLanguageChanged(NamingLanguage)' 宣告的定義宣告	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1287	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'SelectedTitle' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'SelectedTitle' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1291	
錯誤 (作用中)	CS0759	找不到用以實作部分方法 'MainViewModel.OnNamingFormatChanged(string)' 宣告的定義宣告	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1296	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'NamingFormat' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'NamingFormat' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1301	
錯誤 (作用中)	CS0759	找不到用以實作部分方法 'MainViewModel.OnShowRenamedFoldersChanged(bool)' 宣告的定義宣告	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1305	
錯誤 (作用中)	CS0103	名稱 'PreferredLanguage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1312	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'AnalyzedTitle' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'AnalyzedTitle' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1315	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'AnalyzedTitle' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'AnalyzedTitle' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1317	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'AnalyzedTitle' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'AnalyzedTitle' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1319	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'AnalyzedTitle' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'AnalyzedTitle' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1321	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'AnalyzedTitle' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'AnalyzedTitle' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	1323	
